,0,1,2,3,4,5,6,7,8,9
AÑO,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
TOTAL NACIONAL,530,464,477,282,283,259,271,230,169,513
ANDALUCÍA,80,68,64,36,42,36,18,30,15,188
ARAGÓN,15,9,13,3,2,6,3,5,4,36
ASTURIAS (PRINCIPADO DE),10,9,10,1,6,5,2,1,1,15
BALEARS (ILLES),9,2,10,5,1,6,1,4,4,41
CANARIAS,35,18,15,14,14,5,17,2,6,16
CANTABRIA,2,6,4,1,1,1,0,3,2,0
CASTILLA Y LEÓN,28,15,18,8,16,5,7,4,5,19
CASTILLA - LA MANCHA,12,20,7,7,5,7,6,4,6,15
CATALUÑA,111,88,101,69,101,77,99,60,50,43
COMUNITAT VALENCIANA,70,55,53,21,18,13,26,17,17,28
EXTREMADURA,3,5,5,10,5,3,5,3,0,3
GALICIA,24,11,23,5,12,10,6,10,4,43
MADRID (COMUNIDAD DE),71,51,75,42,42,42,39,42,19,26
MURCIA (REGIÓN DE),11,10,7,4,3,4,5,2,4,11
NAVARRA (COMUNIDAD FORAL DE),6,8,4,4,0,1,5,10,5,9
PAÍS VASCO,37,88,65,45,12,34,30,30,27,14
RIOJA (LA),2,0,0,0,0,1,0,0,0,0
CIUDAD AUTÓNOMA DE CEUTA,1,0,0,0,0,0,0,0,0,2
CIUDAD AUTÓNOMA DE MELILLA,2,1,2,7,1,2,1,3,0,2
EN EL EXTRANJERO,1,0,0,0,1,1,1,0,0,2
DESCONOCIDO,0,0,1,0,1,0,0,0,0,0
